trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.95}",30,0,-153.5287460116306,"{0: 18, 1: 1, 2: 9, 3: 0, 4: 2}",0
2,False,"{'a': 0.25, 'e': 0.8999999999999999}",25,0,-172.781652857947,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
3,False,"{'a': 0.25, 'e': 0.8499999999999999}",30,0,-120.9855436228268,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.25, 'e': 0.7999999999999998}",20,6,-50.6026139604486,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
5,False,"{'a': 0.25, 'e': 0.7499999999999998}",20,0,-58.69900659438216,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.25, 'e': 0.6999999999999997}",20,0,-72.39091810193253,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.25, 'e': 0.6499999999999997}",30,0,-188.24148906596776,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
8,False,"{'a': 0.25, 'e': 0.5999999999999996}",20,12,0.12203220486131006,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.25, 'e': 0.5499999999999996}",20,0,-131.3274332170411,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
10,False,"{'a': 0.25, 'e': 0.4999999999999996}",25,0,-155.99631628699132,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.25, 'e': 0.4499999999999996}",25,0,-39.06292977453363,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.25, 'e': 0.39999999999999963}",25,0,-66.49785235263303,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.25, 'e': 0.34999999999999964}",20,0,-51.6254941214322,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.25, 'e': 0.29999999999999966}",25,2,-61.221677524608864,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 1}",1
15,False,"{'a': 0.25, 'e': 0.24999999999999967}",20,0,-86.92285432964717,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
16,False,"{'a': 0.25, 'e': 0.19999999999999968}",20,0,12.936352898239925,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.25, 'e': 0.1499999999999997}",30,22,14.71783381556387,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.25, 'e': 0.09999999999999969}",20,0,-73.38799836845527,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.25, 'e': 0.049999999999999684}",20,9,-64.4419528543207,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
20,False,"{'a': 0.25, 'e': -3.191891195797325e-16}",20,9,2.8090718339243184,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-97.6333683066816,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-8.721283870608719,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,5,23.75607416349913,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-64.4855541981785,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,12.868044212228174,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,12,-86.55134576309368,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,12,14.862111964733057,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,8.70399888869554,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,12.155255778911883,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,22.81227653780315,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
