trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.82318305826193,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-216.0841316122394,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.16221965453254,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-177.4945726261717,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-203.7123244915786,"{0: 11, 1: 2, 2: 7, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.4378939170575,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.32646596961814,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.08754169342605,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.71134409907557,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,6,-99.31199565303056,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-120.09229686934736,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.30804275759978,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-194.47694441031567,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,14,-39.70650522602821,"{0: 10, 1: 4, 2: 0, 3: 2, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-197.14195288696556,"{0: 13, 1: 6, 2: 8, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,9,-49.295329308438816,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-147.90808993848538,"{0: 23, 1: 0, 2: 9, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.70374833561456,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.67418519071234,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.81187103348901,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-211.61197660140027,"{0: 15, 1: 5, 2: 5, 3: 2, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.45981073672685,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-160.0854040330732,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.62646252439512,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-172.7070706019936,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-106.00896579943225,"{0: 25, 1: 5, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-91.76699850211152,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-122.33370764794446,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-100.83587002765042,"{0: 19, 1: 1, 2: 1, 3: 3, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-131.8655778558123,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
