trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-78.41097458409014,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,4,-9.651254443039463,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-219.1998201940202,"{0: 11, 1: 2, 2: 8, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-148.78289246874544,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-177.4420501371243,"{0: 24, 1: 2, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-93.55351025958457,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-212.17048112187138,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-113.58720289808238,"{0: 21, 1: 0, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,3,-227.0220344949621,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 5}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,7,-60.5060035827664,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-159.30158744065898,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-159.4656970868211,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-89.56629829559077,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-35.276441736935375,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,10,-52.018243613644046,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-20.88363905826582,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,15,-49.49360763258098,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,4,-4.567697965423534,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,5.293664162898726,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,14,10.772960135514907,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,17,12.803024948303435,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,18,13.4223946309464,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-69.33217029837311,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-65.92472579477506,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,4.311734427793646,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,2,-51.091728639328124,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-16.382218795573003,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,16,24.80234639047677,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-122.69868458694744,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-11.368356836126676,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
