trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.951229424500714}",30,0,-156.56654531556526,"{0: 15, 1: 5, 2: 7, 3: 2, 4: 1}",0
2,False,"{'a': 0.75, 'e': 0.9048374180359595}",20,0,-84.91424056560369,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.75, 'e': 0.8607079764250578}",35,18,-23.068713325396857,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.75, 'e': 0.8187307530779818}",25,0,-194.6871632119949,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
5,False,"{'a': 0.75, 'e': 0.7788007830714049}",20,0,-95.90398591213311,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.75, 'e': 0.7408182206817179}",20,0,-142.9828437850742,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.75, 'e': 0.7046880897187134}",20,0,-130.73890633158257,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.75, 'e': 0.6703200460356393}",20,0,-79.56474761687885,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.75, 'e': 0.6376281516217733}",25,0,-73.04442802863734,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.75, 'e': 0.6065306597126334}",20,0,-81.01990007140517,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.75, 'e': 0.5769498103804866}",20,0,-116.2468527774714,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
12,False,"{'a': 0.75, 'e': 0.5488116360940264}",20,0,-57.73735532306901,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.75, 'e': 0.522045776761016}",20,0,-65.99118359369962,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.75, 'e': 0.49658530379140947}",20,0,-26.019800579029667,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.75, 'e': 0.4723665527410147}",25,0,-48.7778422215688,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.75, 'e': 0.44932896411722156}",25,0,-137.92093918537023,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
