trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.69990249646133,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.23771903204269,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.86960310834208,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,9,-29.151583463367665,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.73311737370297,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-271.5617538129702,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 5}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.79790966372204,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,11,-20.407403157940294,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.47854581072684,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,10,-41.96048985659115,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.428061893519605,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-106.8986074208715,"{0: 25, 1: 2, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-210.72730401973465,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.93411556918906,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.45537323686517,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.4493193883319,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.62698449948375,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.41772810474443,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-165.03919511634749,"{0: 17, 1: 1, 2: 10, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-179.29023819506347,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-234.99649234199237,"{0: 15, 1: 4, 2: 5, 3: 3, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.32084393941692,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
